session,date,session_month,session_month_english,session_year,year_short
1,02.02.19,févr.,feb,2019,19
1,04.02.19,févr.,feb,2019,19
1,05.02.19,févr.,feb,2019,19
1,06.02.19,févr.,feb,2019,19
1,07.02.19,févr.,feb,2019,19
1,08.02.19,févr.,feb,2019,19
1,10.02.19,févr.,feb,2019,19
1,11.02.19,févr.,feb,2019,19
1,13.02.19,févr.,feb,2019,19
1,14.02.19,févr.,feb,2019,19
1,16.02.19,févr.,feb,2019,19
1,17.02.19,févr.,feb,2019,19
1,18.02.19,févr.,feb,2019,19
1,19.02.19,févr.,feb,2019,19
1,21.02.19,févr.,feb,2019,19
2,01.03.19,mars,mar,2019,19
2,03.03.19,mars,mar,2019,19
2,04.03.19,mars,mar,2019,19
2,06.03.19,mars,mar,2019,19
2,07.03.19,mars,mar,2019,19
2,08.03.19,mars,mar,2019,19
2,10.03.19,mars,mar,2019,19
2,11.03.19,mars,mar,2019,19
2,12.03.19,mars,mar,2019,19
2,14.03.19,mars,mar,2019,19
2,16.03.19,mars,mar,2019,19
2,18.03.19,mars,mar,2019,19
2,19.03.19,mars,mar,2019,19
2,20.03.19,mars,mar,2019,19
2,21.03.19,mars,mar,2019,19
3,29.03.19,mars/avr.,mar/apr,2019,19
3,30.03.19,mars/avr.,mar/apr,2019,19
3,01.04.19,mars/avr.,mar/apr,2019,19
3,02.04.19,mars/avr.,mar/apr,2019,19
3,03.04.19,mars/avr.,mar/apr,2019,19
3,05.04.19,mars/avr.,mar/apr,2019,19
3,07.04.19,mars/avr.,mar/apr,2019,19
3,08.04.19,mars/avr.,mar/apr,2019,19
3,10.04.19,mars/avr.,mar/apr,2019,19
3,11.04.19,mars/avr.,mar/apr,2019,19
3,13.04.19,mars/avr.,mar/apr,2019,19
3,14.04.19,mars/avr.,mar/apr,2019,19
3,16.04.19,mars/avr.,mar/apr,2019,19
3,17.04.19,mars/avr.,mar/apr,2019,19
3,18.04.19,mars/avr.,mar/apr,2019,19
4,07.05.19,mai,may,2019,19
4,09.05.19,mai,may,2019,19
4,10.05.19,mai,may,2019,19
4,11.05.19,mai,may,2019,19
4,12.05.19,mai,may,2019,19
4,13.05.19,mai,may,2019,19
4,14.05.19,mai,may,2019,19
4,15.05.19,mai,may,2019,19
4,16.05.19,mai,may,2019,19
4,19.05.19,mai,may,2019,19
4,20.05.19,mai,may,2019,19
4,21.05.19,mai,may,2019,19
4,22.05.19,mai,may,2019,19
4,24.05.19,mai,may,2019,19
4,25.05.19,mai,may,2019,19
5,12.06.19,juin,jun,2019,19
5,13.06.19,juin,jun,2019,19
5,14.06.19,juin,jun,2019,19
5,15.06.19,juin,jun,2019,19
5,16.06.19,juin,jun,2019,19
5,17.06.19,juin,jun,2019,19
5,19.06.19,juin,jun,2019,19
5,20.06.19,juin,jun,2019,19
5,22.06.19,juin,jun,2019,19
5,23.06.19,juin,jun,2019,19
5,24.06.19,juin,jun,2019,19
5,26.06.19,juin,jun,2019,19
5,27.06.19,juin,jun,2019,19
5,29.06.19,juin,jun,2019,19
5,30.06.19,juin,jun,2019,19
6,08.07.19,juill.,jul,2019,19
6,10.07.19,juill.,jul,2019,19
6,11.07.19,juill.,jul,2019,19
6,13.07.19,juill.,jul,2019,19
6,14.07.19,juill.,jul,2019,19
6,16.07.19,juill.,jul,2019,19
6,17.07.19,juill.,jul,2019,19
6,19.07.19,juill.,jul,2019,19
6,20.07.19,juill.,jul,2019,19
6,21.07.19,juill.,jul,2019,19
6,22.07.19,juill.,jul,2019,19
6,23.07.19,juill.,jul,2019,19
6,25.07.19,juill.,jul,2019,19
6,26.07.19,juill.,jul,2019,19
6,27.07.19,juill.,jul,2019,19
7,05.08.19,août,aug,2019,19
7,06.08.19,août,aug,2019,19
7,07.08.19,août,aug,2019,19
7,09.08.19,août,aug,2019,19
7,10.08.19,août,aug,2019,19
7,12.08.19,août,aug,2019,19
7,13.08.19,août,aug,2019,19
7,14.08.19,août,aug,2019,19
7,15.08.19,août,aug,2019,19
7,16.08.19,août,aug,2019,19
7,19.08.19,août,aug,2019,19
7,20.08.19,août,aug,2019,19
7,21.08.19,août,aug,2019,19
7,23.08.19,août,aug,2019,19
7,25.08.19,août,aug,2019,19
8,02.09.19,sept.,sep,2019,19
8,03.09.19,sept.,sep,2019,19
8,04.09.19,sept.,sep,2019,19
8,07.09.19,sept.,sep,2019,19
8,08.09.19,sept.,sep,2019,19
8,09.09.19,sept.,sep,2019,19
8,12.09.19,sept.,sep,2019,19
8,13.09.19,sept.,sep,2019,19
8,14.09.19,sept.,sep,2019,19
8,15.09.19,sept.,sep,2019,19
8,16.09.19,sept.,sep,2019,19
8,17.09.19,sept.,sep,2019,19
8,18.09.19,sept.,sep,2019,19
8,19.09.19,sept.,sep,2019,19
8,21.09.19,sept.,sep,2019,19
9,30.09.19,sept./oct.,sep/oct,2019,19
9,01.10.19,sept./oct.,sep/oct,2019,19
9,02.10.19,sept./oct.,sep/oct,2019,19
9,05.10.19,sept./oct.,sep/oct,2019,19
9,06.10.19,sept./oct.,sep/oct,2019,19
9,07.10.19,sept./oct.,sep/oct,2019,19
9,08.10.19,sept./oct.,sep/oct,2019,19
9,09.10.19,sept./oct.,sep/oct,2019,19
9,10.10.19,sept./oct.,sep/oct,2019,19
9,12.10.19,sept./oct.,sep/oct,2019,19
9,14.10.19,sept./oct.,sep/oct,2019,19
9,15.10.19,sept./oct.,sep/oct,2019,19
9,16.10.19,sept./oct.,sep/oct,2019,19
9,17.10.19,sept./oct.,sep/oct,2019,19
9,20.10.19,sept./oct.,sep/oct,2019,19
10,28.10.19,oct./nov.,oct/nov,2019,19
10,29.10.19,oct./nov.,oct/nov,2019,19
10,30.10.19,oct./nov.,oct/nov,2019,19
10,31.10.19,oct./nov.,oct/nov,2019,19
10,02.11.19,oct./nov.,oct/nov,2019,19
10,06.11.19,oct./nov.,oct/nov,2019,19
10,07.11.19,oct./nov.,oct/nov,2019,19
10,08.11.19,oct./nov.,oct/nov,2019,19
10,09.11.19,oct./nov.,oct/nov,2019,19
10,10.11.19,oct./nov.,oct/nov,2019,19
10,12.11.19,oct./nov.,oct/nov,2019,19
10,13.11.19,oct./nov.,oct/nov,2019,19
10,14.11.19,oct./nov.,oct/nov,2019,19
10,16.11.19,oct./nov.,oct/nov,2019,19
10,17.11.19,oct./nov.,oct/nov,2019,19
11,25.11.19,nov./déc.,nov/dec,2019,19
11,27.11.19,nov./déc.,nov/dec,2019,19
11,28.11.19,nov./déc.,nov/dec,2019,19
11,29.11.19,nov./déc.,nov/dec,2019,19
11,30.11.19,nov./déc.,nov/dec,2019,19
11,04.12.19,nov./déc.,nov/dec,2019,19
11,05.12.19,nov./déc.,nov/dec,2019,19
11,06.12.19,nov./déc.,nov/dec,2019,19
11,07.12.19,nov./déc.,nov/dec,2019,19
11,08.12.19,nov./déc.,nov/dec,2019,19
11,09.12.19,nov./déc.,nov/dec,2019,19
11,10.12.19,nov./déc.,nov/dec,2019,19
11,12.12.19,nov./déc.,nov/dec,2019,19
11,13.12.19,nov./déc.,nov/dec,2019,19
11,15.12.19,nov./déc.,nov/dec,2019,19
12,23.12.19,déc./janv.,dec/jan,2019/2020,19/20
12,24.12.19,déc./janv.,dec/jan,2019/2020,19/20
12,27.12.19,déc./janv.,dec/jan,2019/2020,19/20
12,28.12.19,déc./janv.,dec/jan,2019/2020,19/20
12,29.12.19,déc./janv.,dec/jan,2019/2020,19/20
12,30.12.19,déc./janv.,dec/jan,2019/2020,19/20
12,31.12.19,déc./janv.,dec/jan,2019/2020,19/20
12,01.01.20,déc./janv.,dec/jan,2019/2020,19/20
12,03.01.20,déc./janv.,dec/jan,2019/2020,19/20
12,05.01.20,déc./janv.,dec/jan,2019/2020,19/20
12,06.01.20,déc./janv.,dec/jan,2019/2020,19/20
12,07.01.20,déc./janv.,dec/jan,2019/2020,19/20
12,09.01.20,déc./janv.,dec/jan,2019/2020,19/20
12,10.01.20,déc./janv.,dec/jan,2019/2020,19/20
12,12.01.20,déc./janv.,dec/jan,2019/2020,19/20
13,21.01.20,janv./févr.,jan/feb,2020,20
13,22.01.20,janv./févr.,jan/feb,2020,20
13,24.01.20,janv./févr.,jan/feb,2020,20
