village,session,date,heure,especes,etat,nombre,endroit,sex,obtenu via,obtenu comment,obtenu ou,but,prix,tue via,tue quand,tue ou,cote,km
E8,6,08.07.19,07:38:00,ATH,E,1,R,F,C,C,V,V,4000,F,N,NA,S,0.08
E8,6,10.07.19,08:00:00,PLQ,E,1,M,M,C,C,V,M,NA,P,J,FO,S,0.05
E8,6,10.07.19,15:52:00,MST,E,1,R,F,C,C,V,V,2000,F,J,FO,N,2
E8,6,10.07.19,16:12:00,POT,E,1,R,M,C,C,V,V,15000,P,J,FO,S,3
E8,6,10.07.19,16:13:00,MST,E,1,M,M,C,C,V,M,NA,F,J,FO,N,2
E8,6,13.07.19,07:32:00,CBL,E,1,M,M,C,C,V,M,NA,F,N,NA,S,3
E8,6,13.07.19,07:32:00,CPE,E,1,M,F,C,C,V,C,NA,F,N,NA,S,4
E8,6,13.07.19,07:44:00,TOR,E,1,R,M,C,C,V,V,2500,P,J,FO,N,0.5
E8,6,16.07.19,07:42:00,POT,T,1,M,NA,C,C,V,M,NA,P,J,FO,S,2
E8,6,17.07.19,07:36:00,GEN,E,1,M,M,C,C,V,M,NA,F,N,NA,S,3
E8,6,17.07.19,07:36:00,CBL,E,1,M,F,C,C,V,V,6000,F,N,NA,S,2.5
E8,6,17.07.19,07:36:00,CAL,E,1,M,M,C,C,V,V,3000,F,J,FO,S,2
E8,6,19.07.19,07:23:00,MST,E,1,R,F,C,C,V,V,3000,F,J,FO,S,5
E8,6,22.07.19,16:19:00,POT,T,1,M,NA,A,A,V,M,NA,P,J,NA,NA,NA
E8,6,23.07.19,07:19:00,MST,E,1,M,M,C,C,V,V,3000,F,J,FO,S,5
E8,6,25.07.19,16:10:00,ATH,E,1,M,M,C,C,V,M,NA,P,J,FO,N,0.3
E8,6,27.07.19,07:44:00,MST,E,1,R,F,C,C,V,V,3000,F,J,FO,S,5
E8,6,27.07.19,07:44:00,CBL,E,1,M,F,C,C,V,M,NA,F,N,NA,S,4
E1,6,19.07.19,07:37:00,CBL,E,1,M,M,D,D,V,M,NA,F,N,FO,S,5
E1,6,19.07.19,07:37:00,CBL,E,1,M,F,D,D,V,M,NA,F,N,FO,S,5
E1,6,19.07.19,07:37:00,CBL,E,1,M,F,D,D,V,M,NA,F,N,FO,S,5
E1,6,20.07.19,07:32:00,CBL,E,1,M,M,C,C,V,V,5000,F,N,FF,S,0.2
E1,6,20.07.19,07:32:00,ATH,E,1,M,M,C,C,V,V,7000,F,N,FF,S,0.2
E1,6,20.07.19,08:13:00,ATH,E,1,M,M,D,D,V,M,NA,NA,NA,NA,NA,NA
E1,6,23.07.19,07:25:00,CBL,E,1,M,M,C,C,V,M,NA,F,N,FO,N,5
E1,6,25.07.19,17:05:00,PCM,E,1,M,M,C,C,V,M,NA,M,J,FF,N,NA
E1,6,26.07.19,07:27:00,CBL,E,1,M,M,C,C,V,V,5000,F,N,FO,S,5
E1,6,26.07.19,07:27:00,CBL,E,1,M,M,C,C,V,V,5000,F,N,FF,S,NA
E1,6,26.07.19,07:27:00,CBL,E,1,M,M,C,C,V,V,5000,F,N,FF,S,NA
E2,6,08.07.19,07:21:00,PCM,E,1,M,M,C,C,V,C,NA,P,J,P,N,0.05
E2,6,08.07.19,07:39:00,SIT,MR,1,M,NA,A,A,V,M,1000,NA,NA,NA,NA,NA
