village,session,date,matin/soir,heure debut,heure fin,ME,MPE,MV,M,temps
E9,8,02.09.19,M,07:20:00,09:26:00,20,1,9,30,N
E9,8,02.09.19,S,15:51:00,17:32:00,26,0,4,30,N
E9,8,03.09.19,M,07:20:00,08:33:00,21,3,6,30,S
E9,8,03.09.19,S,15:51:00,17:23:00,20,4,6,30,S
E9,8,04.09.19,M,07:18:00,08:12:00,22,2,6,30,N
E9,8,04.09.19,S,15:51:00,16:42:00,22,1,7,30,S
E9,8,07.09.19,M,07:21:00,08:22:00,19,5,6,30,N
E9,8,07.09.19,S,15:49:00,17:04:00,21,5,4,30,S
E9,8,08.09.19,M,07:21:00,08:11:00,21,5,4,30,N
E9,8,08.09.19,S,15:49:00,17:10:00,22,3,5,30,S
E9,8,09.09.19,M,07:19:00,08:11:00,21,4,5,30,N
E9,8,09.09.19,S,15:50:00,16:39:00,20,5,5,30,S
E9,8,12.09.19,M,07:20:00,08:19:00,20,6,4,30,N
E9,8,12.09.19,S,15:50:00,16:52:00,23,4,3,30,S
E9,8,13.09.19,M,07:18:00,08:27:00,22,4,4,30,N
E9,8,13.09.19,S,15:50:00,17:51:00,23,3,4,30,S
E9,8,14.09.19,M,07:21:00,08:18:00,22,4,4,30,S
E9,8,14.09.19,S,15:50:00,16:55:00,25,1,4,30,S
E9,8,15.09.19,M,07:20:00,08:42:00,24,2,4,30,S
E9,8,16.09.19,M,07:25:00,08:35:00,24,2,4,30,N
E9,8,16.09.19,S,15:50:00,17:25:00,25,1,4,30,S
E9,8,17.09.19,M,07:19:00,08:07:00,18,8,4,30,N
E9,8,17.09.19,S,15:50:00,16:50:00,22,4,4,30,S
E9,8,18.09.19,M,07:19:00,08:14:00,23,3,4,30,N
E9,8,18.09.19,S,15:50:00,17:42:00,25,1,4,30,PP
E9,8,19.09.19,M,07:20:00,08:22:00,23,3,4,30,S
E9,8,19.09.19,S,15:49:00,16:39:00,19,7,4,30,S
E9,8,21.09.19,M,07:18:00,08:11:00,18,0,12,30,N
